date,day_of_week,is_weekend,temperature,humidity,ac_usage_hours,geyser_usage_minutes,tv_usage_hours,number_of_occupants,units_consumed,unit_cost,total_bill
2025-05-20,Tuesday,False,36.1,74,0.8582181660525108,0,1.9520607631519378,3,11.19,7.93,88.74
2025-05-21,Wednesday,False,37.9,61,0.8225491306079993,0,2.7846895098070883,2,9.84,7.9,77.74
2025-05-22,Thursday,False,39.7,65,1.1090895362879813,0,1.3334797403199896,4,11.43,7.77,88.81
2025-05-23,Friday,False,40.9,48,0.5851051569041863,0,2.189673232451047,2,9.11,8.24,75.07
2025-05-24,Saturday,True,28.2,51,1.1581012223024347,0,2.91938239772536,2,11.68,8.02,93.67
2025-05-25,Sunday,True,28.7,75,1.5504736996089938,0,1.6111386883138752,3,14.98,7.97,119.39
2025-05-26,Monday,False,32.8,71,1.9340308858559503,0,1.4422684973762,3,13.58,7.93,107.69
2025-05-27,Tuesday,False,40.4,81,1.6413991313010416,0,1.660673384837362,3,10.96,8.5,93.16
2025-05-28,Wednesday,False,37.9,83,1.1130603664188436,0,2.1133035916479983,3,8.96,7.82,70.07
2025-05-29,Thursday,False,38.4,79,1.7519618818380942,0,2.1273964299665638,2,10.48,7.97,83.53
2025-05-30,Friday,False,36.4,40,1.8344338084527523,0,2.8075343715457315,2,12.1,8.46,102.37
2025-05-31,Saturday,True,39.8,57,1.204363077134388,0,1.5064420624518693,2,11.46,8.37,95.92
2025-06-01,Sunday,True,34.9,60,1.628288620925829,0,2.06522990304818,2,8.94,7.58,67.77
2025-06-02,Monday,False,31.9,83,1.1035185538921846,0,2.5246771040077443,4,15.16,8.42,127.65
2025-06-03,Tuesday,False,38.9,35,0.3670120625390856,0,2.5146902211099835,4,13.66,7.88,107.64
2025-06-04,Wednesday,False,29.3,45,1.6421903648511536,0,1.0633781848479373,4,15.99,7.9,126.32
2025-06-05,Thursday,False,32.5,62,0.6815497764711209,0,1.2285613877967811,3,9.53,8.05,76.72
2025-06-06,Friday,False,40.9,51,0.39134776617130385,0,2.7351968921474943,2,10.13,8.21,83.17
2025-06-07,Saturday,True,28.0,57,0.06665262575613173,0,1.8545931925759922,2,14.48,8.07,116.85
2025-06-08,Sunday,True,34.6,85,1.441450340672536,0,1.5705737862626656,4,9.98,8.09,80.74
2025-06-09,Monday,False,35.0,61,0.5559788349066599,0,2.5258288160549256,2,9.36,8.18,76.56
2025-06-10,Tuesday,False,33.2,47,1.9901571599258514,0,1.9731117644175447,4,10.86,8.08,87.75
2025-06-11,Wednesday,False,35.4,61,0.8662687645148408,0,1.1185503476172898,4,11.59,8.29,96.08
2025-06-12,Thursday,False,34.8,38,0.572031867713406,0,2.9359791902168118,2,10.47,7.92,82.92
2025-06-13,Friday,False,40.7,80,1.352896084192443,0,1.011760202190476,2,9.93,8.14,80.83
2025-06-14,Saturday,True,40.0,42,0.18178184514126672,0,2.672290605895916,3,10.98,7.76,85.2
2025-06-15,Sunday,True,39.3,78,0.6997819367613538,0,1.609300451749621,4,10.95,8.11,88.8
2025-06-16,Monday,False,41.4,62,1.2380759574208426,0,1.0744738468253174,2,12.42,8.45,104.95
2025-06-17,Tuesday,False,36.2,78,1.0259925783254744,0,2.3350443372701335,4,15.93,7.73,123.14
2025-06-18,Wednesday,False,38.9,65,0.1231730527190884,0,1.076095205717758,2,10.73,8.16,87.56
